氏名,科目,1. 授業内容を理解できたか,2. 授業内容に満足したか,3. 授業内容に興味を持てたか,4. 教員の授業に対する熱意を感じたか,5. 教員の話し方・説明の仕方は適切だったか,6. 教員の板書や資料の示し方は適切だったか,7. 授業の進行速度や分量は適切だったか,8. 質問や意見が言いやすかったか
d そう思わない,e まったくそう思わない,c どちらともいえない,b そう思う,b そう思う,a 強くそう思う,b そう思う,a 強くそう思う
a 強くそう思う,d そう思わない,c どちらともいえない,b そう思う,a 強くそう思う,c どちらともいえない,d そう思わない,a 強くそう思う
a 強くそう思う,b そう思う,c どちらともいえない,b そう思う,a 強くそう思う,a 強くそう思う,b そう思う,c どちらともいえない
c どちらともいえない,d そう思わない,b そう思う,a 強くそう思う,c どちらともいえない,b そう思う,b そう思う,e まったくそう思わない
d そう思わない,b そう思う,b そう思う,b そう思う,b そう思う,c どちらともいえない,a 強くそう思う,a 強くそう思う
b そう思う,a 強くそう思う,e まったくそう思わない,b そう思う,e まったくそう思わない,a 強くそう思う,b そう思う,d そう思わない
c どちらともいえない,a 強くそう思う,b そう思う,b そう思う,c どちらともいえない,b そう思う,c どちらともいえない,a 強くそう思う
b そう思う,b そう思う,d そう思わない,d そう思わない,e まったくそう思わない,b そう思う,d そう思わない,d そう思わない
b そう思う,a 強くそう思う,d そう思わない,b そう思う,d そう思わない,c どちらともいえない,b そう思う,d そう思わない
b そう思う,c どちらともいえない,a 強くそう思う,b そう思う,a 強くそう思う,b そう思う,b そう思う,c どちらともいえない
a 強くそう思う,c どちらともいえない,d そう思わない,b そう思う,b そう思う,a 強くそう思う,a 強くそう思う,c どちらともいえない
a 強くそう思う,a 強くそう思う,a 強くそう思う,e まったくそう思わない,a 強くそう思う,b そう思う,b そう思う,c どちらともいえない
a 強くそう思う,b そう思う,a 強くそう思う,b そう思う,c どちらともいえない,b そう思う,b そう思う,a 強くそう思う
b そう思う,c どちらともいえない,d そう思わない,a 強くそう思う,b そう思う,a 強くそう思う,d そう思わない,a 強くそう思う
b そう思う,a 強くそう思う,a 強くそう思う,b そう思う,b そう思う,a 強くそう思う,e まったくそう思わない,d そう思わない
b そう思う,c どちらともいえない,e まったくそう思わない,b そう思う,b そう思う,b そう思う,b そう思う,b そう思う
a 強くそう思う,a 強くそう思う,c どちらともいえない,a 強くそう思う,a 強くそう思う,b そう思う,b そう思う,c どちらともいえない
a 強くそう思う,e まったくそう思わない,b そう思う,c どちらともいえない,a 強くそう思う,b そう思う,d そう思わない,c どちらともいえない
b そう思う,a 強くそう思う,c どちらともいえない,d そう思わない,a 強くそう思う,b そう思う,b そう思う,a 強くそう思う
a 強くそう思う,b そう思う,b そう思う,c どちらともいえない,d そう思わない,c どちらともいえない,b そう思う,c どちらともいえない
c どちらともいえない,d そう思わない,a 強くそう思う,b そう思う,b そう思う,b そう思う,a 強くそう思う,b そう思う
a 強くそう思う,d そう思わない,a 強くそう思う,b そう思う,e まったくそう思わない,c どちらともいえない,b そう思う,b そう思う
d そう思わない,c どちらともいえない,b そう思う,b そう思う,b そう思う,a 強くそう思う,e まったくそう思わない,b そう思う
d そう思わない,d そう思わない,b そう思う,e まったくそう思わない,a 強くそう思う,c どちらともいえない,c どちらともいえない,b そう思う
a 強くそう思う,b そう思う,b そう思う,b そう思う,c どちらともいえない,a 強くそう思う,d そう思わない,b そう思う
a 強くそう思う,e まったくそう思わない,a 強くそう思う,c どちらともいえない,d そう思わない,d そう思わない,a 強くそう思う,b そう思う
d そう思わない,b そう思う,c どちらともいえない,b そう思う,d そう思わない,e まったくそう思わない,e まったくそう思わない,a 強くそう思う
b そう思う,b そう思う,a 強くそう思う,b そう思う,b そう思う,d そう思わない,b そう思う,c どちらともいえない
a 強くそう思う,d そう思わない,d そう思わない,d そう思わない,e まったくそう思わない,b そう思う,b そう思う,b そう思う
b そう思う,a 強くそう思う,b そう思う,b そう思う,c どちらともいえない,a 強くそう思う,d そう思わない,b そう思う
c どちらともいえない,c どちらともいえない,a 強くそう思う,b そう思う,c どちらともいえない,b そう思う,e まったくそう思わない,b そう思う
b そう思う,b そう思う,c どちらともいえない,b そう思う,a 強くそう思う,a 強くそう思う,a 強くそう思う,e まったくそう思わない
d そう思わない,b そう思う,b そう思う,c どちらともいえない,e まったくそう思わない,d そう思わない,d そう思わない,d そう思わない
c どちらともいえない,d そう思わない,b そう思う,a 強くそう思う,c どちらともいえない,b そう思う,c どちらともいえない,a 強くそう思う
c どちらともいえない,e まったくそう思わない,b そう思う,a 強くそう思う,c どちらともいえない,c どちらともいえない,b そう思う,c どちらともいえない
b そう思う,d そう思わない,b そう思う,c どちらともいえない,a 強くそう思う,b そう思う,b そう思う,b そう思う
d そう思わない,e まったくそう思わない,b そう思う,d そう思わない,d そう思わない,d そう思わない,d そう思わない,a 強くそう思う
a 強くそう思う,b そう思う,b そう思う,b そう思う,b そう思う,b そう思う,a 強くそう思う,b そう思う
b そう思う,b そう思う,b そう思う,e まったくそう思わない,a 強くそう思う,d そう思わない,c どちらともいえない,c どちらともいえない
b そう思う,a 強くそう思う,c どちらともいえない,a 強くそう思う,d そう思わない,b そう思う,b そう思う,b そう思う
